** CONVERTED FROM C:\Users\hanzh\Desktop\Pupillometry Demo\data\_Forced_Response_scene_contrast_2022_Jul_26_1425.EDF using edfapi 4.2.1 Win32  EyeLink Dataviewer Sub ComponentApr 12 2021 on Tue Jul 26 14:36:36 2022
** DATE: Tue Jul 26 14:22:21 2022
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.594 Jul  6 2012
** CAMERA: EyeLink CL Version 1.4 Sensor=BHF
** SERIAL NUMBER: CL1-76M08
** CAMERA_CONFIG: 76M08140.SCD
**

MSG	524982 NO Reply is disabled for function eyelink_cal_result
MSG	525033 RECCFG CR 500 2 0 R
MSG	525033 ELCLCFG MTABLE
MSG	525033 GAZE_COORDS 0.00 0.00 1600.00 1200.00
MSG	525033 THRESHOLDS R 54 195
MSG	525033 ELCL_PROC ELLIPSE  (5)
MSG	525033 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
START	525034 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	DIAMETER
EVENTS	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	 500.00	TRACKING	CR	FILTER	2
MSG	525034 !MODE RECORD CR 500 2 0 R
525034	  779.1	  626.5	 7846.0	...
525036	  779.2	  626.4	 7844.0	...
SFIX R   525038
525038	  778.9	  626.3	 7846.0	...
525040	  778.5	  626.2	 7848.0	...
525042	  778.0	  625.3	 7850.0	...
525044	  777.9	  624.3	 7850.0	...
525046	  778.0	  623.3	 7850.0	...
525048	  778.1	  623.1	 7846.0	...
525050	  778.2	  623.4	 7843.0	...
525052	  778.4	  623.8	 7839.0	...
525054	  778.7	  624.2	 7839.0	...
525056	  778.5	  624.2	 7844.0	...
525058	  778.0	  624.1	 7847.0	...
525060	  778.0	  624.4	 7851.0	...
525062	  778.5	  624.7	 7851.0	...
525064	  778.9	  624.2	 7855.0	...
525066	  778.8	  623.5	 7859.0	...
525068	  778.6	  622.7	 7861.0	...
525070	  778.3	  622.4	 7861.0	...
525072	  778.1	  622.1	 7865.0	...
525074	  778.0	  623.0	 7868.0	...
525076	  778.4	  624.2	 7870.0	...
525078	  778.7	  624.9	 7866.0	...
525080	  778.9	  624.5	 7862.0	...
525082	  778.8	  624.9	 7860.0	...
525084	  779.0	  625.6	 7863.0	...
525086	  779.2	  625.8	 7865.0	...
525088	  779.2	  625.3	 7867.0	...
525090	  779.2	  624.7	 7867.0	...
525092	  779.3	  625.3	 7869.0	...
525094	  779.6	  625.9	 7872.0	...
525096	  779.8	  626.2	 7874.0	...
525098	  779.5	  626.0	 7875.0	...
525100	  779.0	  625.7	 7875.0	...
525102	  778.7	  624.8	 7875.0	...
525104	  779.0	  623.8	 7874.0	...
525106	  779.3	  622.7	 7876.0	...
525108	  779.3	  622.6	 7879.0	...
525110	  779.3	  622.6	 7882.0	...
525112	  779.3	  622.8	 7883.0	...
