pic,reduced_side,target_side,trial,fname,target_loc,target_loc_py,target_x,target_y,target_x_py,target_y_py
casun_acduarbnmmoglmiv.jpg,left,right,1,leftcasun_acduarbnmmoglmiv.jpg,"(616, 727)","(104, -343)",616,727,104,-343
casun_bghhucfqkgdotdrl.jpg,right,right,2,rightcasun_bghhucfqkgdotdrl.jpg,"(677, 327)","(165, 57)",677,327,165,57
casun_blblulildyncrsov.jpg,left,right,3,leftcasun_blblulildyncrsov.jpg,"(694, 387)","(182, -3)",694,387,182,-3
caimg_058.jpg,left,right,4,leftcaimg_058.jpg,"(803, 149)","(291, 235)",803,149,291,235
caimg_039.jpg,right,right,5,rightcaimg_039.jpg,"(775, 286)","(263, 98)",775,286,263,98
casun_bayvlziheeqrwvag.jpg,right,right,6,rightcasun_bayvlziheeqrwvag.jpg,"(767, 481)","(255, -97)",767,481,255,-97
caimg_084.jpg,left,left,7,leftcaimg_084.jpg,"(181, 347)","(-331, 37)",181,347,-331,37
caimg_109.jpg,right,left,8,rightcaimg_109.jpg,"(185, 328)","(-327, 56)",185,328,-327,56
casun_azjnlffijawrtmbz.jpg,right,right,9,rightcasun_azjnlffijawrtmbz.jpg,"(686, 674)","(174, -290)",686,674,174,-290
caimg_097.jpg,right,left,10,rightcaimg_097.jpg,"(314, 113)","(-198, 271)",314,113,-198,271
casun_acduarbnmmoglmiv.jpg,left,left,1,leftcasun_acduarbnmmoglmiv.jpg,"(273, 165)","(-239, 219)",273,165,-239,219
casun_bghhucfqkgdotdrl.jpg,right,left,2,rightcasun_bghhucfqkgdotdrl.jpg,"(238, 521)","(-274, -137)",238,521,-274,-137
casun_blblulildyncrsov.jpg,left,left,3,leftcasun_blblulildyncrsov.jpg,"(242, 231)","(-270, 153)",242,231,-270,153
caimg_058.jpg,left,left,4,leftcaimg_058.jpg,"(286, 556)","(-226, -172)",286,556,-226,-172
caimg_039.jpg,right,left,5,rightcaimg_039.jpg,"(271, 595)","(-241, -211)",271,595,-241,-211
casun_bayvlziheeqrwvag.jpg,right,left,6,rightcasun_bayvlziheeqrwvag.jpg,"(279, 455)","(-233, -71)",279,455,-233,-71
caimg_084.jpg,left,right,7,leftcaimg_084.jpg,"(702, 281)","(190, 103)",702,281,190,103
caimg_109.jpg,right,right,8,rightcaimg_109.jpg,"(683, 160)","(171, 224)",683,160,171,224
casun_azjnlffijawrtmbz.jpg,right,left,9,rightcasun_azjnlffijawrtmbz.jpg,"(193, 222)","(-319, 162)",193,222,-319,162
caimg_097.jpg,right,right,10,rightcaimg_097.jpg,"(697, 177)","(185, 207)",697,177,185,207
casun_acduarbnmmoglmiv.jpg,right,left,1,rightcasun_acduarbnmmoglmiv.jpg,"(261, 393)","(-251, -9)",261,393,-251,-9
casun_bghhucfqkgdotdrl.jpg,left,left,2,leftcasun_bghhucfqkgdotdrl.jpg,"(414, 263)","(-98, 121)",414,263,-98,121
casun_blblulildyncrsov.jpg,right,left,3,rightcasun_blblulildyncrsov.jpg,"(317, 259)","(-195, 125)",317,259,-195,125
caimg_058.jpg,right,left,4,rightcaimg_058.jpg,"(411, 670)","(-101, -286)",411,670,-101,-286
caimg_039.jpg,left,left,5,leftcaimg_039.jpg,"(183, 516)","(-329, -132)",183,516,-329,-132
casun_bayvlziheeqrwvag.jpg,left,left,6,leftcasun_bayvlziheeqrwvag.jpg,"(404, 651)","(-108, -267)",404,651,-108,-267
caimg_084.jpg,right,right,7,rightcaimg_084.jpg,"(705, 76)","(193, 308)",705,76,193,308
caimg_109.jpg,left,right,8,leftcaimg_109.jpg,"(694, 51)","(182, 333)",694,51,182,333
casun_azjnlffijawrtmbz.jpg,left,left,9,leftcasun_azjnlffijawrtmbz.jpg,"(268, 348)","(-244, 36)",268,348,-244,36
caimg_097.jpg,left,right,10,leftcaimg_097.jpg,"(774, 189)","(262, 195)",774,189,262,195
casun_acduarbnmmoglmiv.jpg,right,right,1,rightcasun_acduarbnmmoglmiv.jpg,"(681, 121)","(169, 263)",681,121,169,263
casun_bghhucfqkgdotdrl.jpg,left,right,2,leftcasun_bghhucfqkgdotdrl.jpg,"(672, 384)","(160, 0)",672,384,160,0
casun_blblulildyncrsov.jpg,right,right,3,rightcasun_blblulildyncrsov.jpg,"(684, 516)","(172, -132)",684,516,172,-132
caimg_058.jpg,right,right,4,rightcaimg_058.jpg,"(796, 513)","(284, -129)",796,513,284,-129
caimg_039.jpg,left,right,5,leftcaimg_039.jpg,"(713, 177)","(201, 207)",713,177,201,207
casun_bayvlziheeqrwvag.jpg,left,right,6,leftcasun_bayvlziheeqrwvag.jpg,"(654, 99)","(142, 285)",654,99,142,285
caimg_084.jpg,right,left,7,rightcaimg_084.jpg,"(182, 214)","(-330, 170)",182,214,-330,170
caimg_109.jpg,left,left,8,leftcaimg_109.jpg,"(294, 616)","(-218, -232)",294,616,-218,-232
casun_azjnlffijawrtmbz.jpg,left,right,9,leftcasun_azjnlffijawrtmbz.jpg,"(624, 545)","(112, -161)",624,545,112,-161
caimg_097.jpg,left,left,10,leftcaimg_097.jpg,"(320, 678)","(-192, -294)",320,678,-192,-294
